codigoProduto;descricaoProduto;unidadeProduto;NCMProduto
324;COPINHO DE CHOCOLATE KG;KG;19012000  
49091;BATATA DOCE KG;KG;07089000  
6310;ESPETINHO DE CARNE DA CASA KG;KG;02012090  
50183;BOLO SALGADO KG;KG;19059090  
5732;LINGUICA CALABRESA MARBA KG;KG;16010000  
49606;ABACATE KG;KG;08044000  
717;BACALHAU ZARBO 10/12 KG;KG;03055910  
51863;QUEIJO MUSSARELA VALE DO ORIZONA PED.KG.;KG;04061010  
339;AVE FIESTA KG;KG;02071400  
50211;KIWI KG.;KG;08081000  
6953;BOLO DE AIPIM KG;KG;19012000  
51973;QUEIJO PARMESAO A GRANEL KG;KG;04069030  
6957;BOLO DE MILHO VERDE KG;KG;19012000  
50215;MELANCIA KG;KG;08071100  
4722;UVA ROSADA KG;KG;08061000  
53120;SALAME REZENDE KG.;KG;16010000  
340;PRESUNTO DE PEITO DE PERU KG;KG;16024900  
50364;QUEIJO MINAS DURO NATA/OURO KG;KG;04069020  
6959;QUEIJO MINAS PADRAO CRIOULO MEIA LUA KG;KG;04069020  
53527;KIBE DA CASA KG;KG;02071200  
33511;SEMENTE DE GIRASSOL KG;KG;12060090  
50536;QUINDIM KG;KG;19059090  
5738;PITAYA KG;KG;08109016  
54175;RACAO FARO GATO AD.MIX PEIXE KG.;KG;23099010  
4714;BISTECA DO CONTRA FILE KG;KG;02071200  
50687;BOLO DE BANANA;KG;19012000  
6961;LINGUICA PAMPLONA TOSCANA MINI KG;KG;16010000  
54816;EMBUTIDO DE PEITO DE FRANGO SADIA FT.KG.;KG;16023220  
37613;BIFE DE FIGADO BOVINO KG;KG;02062200  
50935;APRESUNTADO NOBRE  KG;KG;16024900  
5739;BANHA DE PORCO KG;KG;15163000  
54892;CARNE SECA JAO DIANTEIRO KG;KG;02102000  
4717;BOLO DE CENOURA KG;KG;19012000  
52817;LIMAO CAVALO KG;KG;08055000  
33982;BOLACHAS CASEIRA DIVERSAS;KG;19059020  
55311;BACALHAU ZARBO 16/20 KG;KG;03055910  
37628;RICOTA FRESCA V.KG;KG;04061090  
53150;LAGARTO *KG;KG;02012090  
6683;RACAO PARA CAES HEROI VEGETAIS KG.;KG;23099010  
56375;QUEIJO FRESCO/FRESCAL GUERREIRO KG.;KG;04069020  
4727;MEDALHAO DE FRANGO KG;KG;02071400  
54429;QUEIJO PRATO KG;KG;04069020  
36137;ALCATRA KG;KG;02013000  
56394;QUEIJO PRATO VALE DO ORIZONA KG;KG;04069020  
40348;MAMAO FORMOSA KG.;KG;08072000  
56304;QUEIJO MINAS PADRAO CRIOULO MEIA LUA TEMP.KG;KG;04061090  
7341;BOLACHA SAMANTA KG.;KG;19059020  
61301;LIXIA KG;KG;08093010  
5733;TORTA DOCE SABORES  KG;KG;19059090  
60847;LINGUICA FININHA DEFUMADA;KG;16010000  
39947;BANANA NANICA KG;KG;08039000  
62087;MACA ARGENTINA KG;KG;08081000  
43891;BISCOITO DE POLVILHO SALGADO KG;KG;19059090  
61763;APRESUNTADO SOFT PIG  KG;KG;16024900  
7621;MUFFINS CHOCOLATE;KG;19059090  
62827;PAO DE TORRESMO KG;KG;19059090  
7330;LINGUICA CALABRESA AURORA KG.;KG;16010000  
62088;REPOLHO VERDE KG.;KG;07052900  
43879;PAO CASEIRO KG;KG;19059010  
62828;PAO PORTUGUES KG;KG;19059090  
43905;CROISSANT KG;KG;19059090  
62320;NUGGETS DE FRANGO SEARA KG.;KG;16023230  
33459;BOLO DE CHOCOLATE KG;KG;19012000  
63244;SASSAME CONG.C.VALE KG;KG;02071200  
13489;PAO DE BEIRUTE  KG;KG;19059010  
62703;PAO FRANCES KG;KG;19059090  
44050;RACAO LUCK DOG MIX FILHOTE  27% A GRANEL KG.;KG;23099010  
63465;BOLO INGLES KG;KG;19012000  
43911;FRANGO INTEIRO KG;KG;02071200  
63358;DONUTS RECHEADO KG;KG;19059090  
33513;PERNIL SEM OSSO KG;KG;02032900  
63642;BOLO RECH.LEITE NINHO KG;KG;19012000  
33529;CEBOLA  KG;KG;07089000  
63806;RACAO FARO GATO AD.GRELH.CARNE FRANGO KG;KG;23099010  
44202;LOMBO CANADENSE KG;KG;16010000  
63805;BRIOCHE RECHEADO  KG.;KG;19059090  
43971;BROINHAS KG;KG;19012000  
63966;QUEIJO MONTANHES AVIACAO KG;KG;04061010  
33998;BACON A GRANEL KG;KG;02101200  
63964;GLP GRANEL;KG;27111910  
33534;PEITO DE PERU SADIA KG;KG;16023100  
64547;MORTADELA PERDIGAO KG;KG;16010000  
44527;MAMINHA ASSADA KG;KG;02012090  
63968;CARNE SECA PAINEIRA TRASEIRO KG.;KG;02102000  
44019;RACAO LUCK DOG MIX 22% PROTEINA KG;KG;23099090  
65331;CARNE SECA PAINEIRA DIANTEIRO KG;KG;02102000  
36143;FARINHA DE ROSCA KG;KG;19059090  
63970;CARNE SECA MINERVA DIANTEIRO KG.;KG;02102000  
34373;LINGUICA SEARA CARNE SUINA KG;KG;16010000  
65333;TOUCINHO FRITO KG;KG;15163000  
44868;AMEIXA PRETA SEM CAROCO KG;KG;08132020  
64292;RACAO DOG CHOW PURINA ADULT KG;KG;23099090  
44111;COXINHA DA ASA KG;KG;02071400  
65854;BRIGADEIRO KG;KG;19019090  
36169;AZEITONA VERDE FATIADA;KG;20057000  
64876;PEITO DE FRANGO EDER FT.KG.;KG;16023220  
38653;AZEITONA AZAPA A GRANEL;KG;20057000  
66127;CASTANHA PORTUGUESA;KG;00000000  
45398;ACEM *KG;KG;02012090  
65334;QUEIJO COALHO BANDEIRA KG.;KG;04069020  
44542;PERNIL COM OSSO ASSADO KG;KG;02031100  
66135;RACAO PARA CAES MAGNUS ADULTO  KG;KG;23099010  
37917;PAO HOT DOG KG;KG;19059010  
66128;RACAO YEP DOG ADULTOS KG;KG;23099010  
42787;FERMENTO PARA PAO;KG;21021090  
66387;APRESUNTADO ALEGRA  KG;KG;16024900  
46036;NOZES SEM CASCA KG.;KG;08132020  
66424;PRESUNTO NOBRE KG;KG;16024900  
44556;RACAO HEROI CAES FILHOTES CARNE E CER.KG.;KG;23099010  
66528;RACAO PEDIGREE RACAS MEDIAS E GRANDES  KG.;KG;23099010  
39958;MAMAO PAPAYA KG.;KG;08072000  
66714;RACAO YEP CAT FILHOTE KG;KG;23099010  
43927;PRESUNTO PERDIGAO SEM CAPA KG;KG;16024100  
67193;CEBOLA ROXA KG;KG;08061000  
46842;QUEIJO MUSSARELA BOLA KG;KG;04061010  
44852;COXAO DURO KG;KG;02013000  
40394;MORTADELA REZENDE KG;KG;16010000  
43985;APRESUNTADO AURORA KG;KG;16024900  
46889;CAROLINAS KG;KG;19059090  
44907;DOCE CANNOLI KG;KG;19059090  
40850;BOLO DE FESTA KG;KG;19012000  
44131;ASA DE FRANGO KG;KG;02071400  
47344;PAO DE MILHO KG;KG;19059010  
45864;COGUMELO INTEIRO A GRANEL;KG;20031000  
43939;PEITO DE FRANGO COM OSSO KG;KG;02071400  
44283;QUEIJO MUSSARELINHA CRIOULO KG;KG;04061010  
50065;PAVE DE BISCOITO KG.;KG;19059090  
46682;QUEIJO PROVOLONE VALEZA BOLA DEF.KG;KG;04069020  
44244;QUIRERA MEDIA N.3- KG;KG;10059090  
44374;QUIRERA FINA N.1 -KG;KG;11042300  
50210;PESSEGO KG;KG;08093010  
46804;QUEIJO FRESCO/FRESCAL VALE ORIZONA KG;KG;04061090  
44328;RACAO PEDIGREE RAC.MEDIAS E GR.FILHOTES KG;KG;23099010  
44412;PAO INTEGRAL KG.;KG;19012000  
50232;MAMINHA RECHEADA KG;KG;02071200  
46817;ROCAMBOLE DE CARNE KG;KG;02071200  
44420;PATINHO KG*;KG;02012090  
44499;RACAO LUCK CAT MIX 30% A GRANEL KG.;KG;23099010  
50448;CATARINA KG;KG;19059090  
47368;GENGIBRE KG.;KG;07089000  
44423;LINGUICA PAIO  KG;KG;16010000  
45159;CASTANHA DE CAJU KG.;KG;20081900  
51893;LOMBO SUINO SADIA FATIADO KG.;KG;02032900  
47788;BACALHAU SAITHE 13/15 NORWAY KG.;KG;03054910  
45439;LINGUICA PERDIGAO CALABRESA KG.;KG;16010000  
45520;QUEIJO PALITO MUSSARELA  KG;KG;04061010  
52411;CARNE SECA MARBA JERKED BEEF DIANTEIRO KG;KG;02102000  
51168;LINGUICA ALEGRA PARA CHURRASCO KG;KG;16010000  
45765;PAO DOCE KG;KG;19059090  
45719;QUEIJO PARMESAO SCALA FATIADO KG;KG;04069010  
52798;RACAO CAT MEAL MIX KG;KG;23099010  
52514;RACAO CHAMP FILHOTES KG;KG;23099010  
46732;QUIRERA GROSSA N.4- KG;KG;11042300  
46033;RACAO PEDIGREE CARNE VEG.KG;KG;23099010  
54183;ORELHA KG;KG;02031900  
54433;CODIGUIM DA CASA KG;KG;16010000  
46742;PALETA BOVINA*KG;KG;02013000  
46203;MUSCULO *KG;KG;02012090  
56380;QUEIJO MUSSARELA CRIOULO KG;KG;04061010  
54474;SALSICHA PIF PAF KG.;KG;16010000  
46964;COXAO DURO *KG;KG;02012090  
47387;PONTA DE PEITO *KG;KG;02013000  
56386;BACALHAU ZARBO 7/9 NORWAY KG.;KG;03056910  
55436;RACAO PARA CAES FARO RACAS PEQ.KG;KG;23099010  
47326;LAGARTO KG;KG;02013000  
47629;MAMINHA KG;KG;02012090  
56404;APRESUNTADO SADIA KG;KG;16024900  
55617;PEITO DE PERU SEARA KG;KG;16010000  
47424;ALMONDEGAS KG;KG;02012090  
47638;CONTRA FILE *KG;KG;02013000  
60848;RACAO PEDDY MAIS KG.;KG;23099010  
56365;MASSA P/BOLO DE FESTA KG;KG;19059090  
48765;CASTANHA DO PARA S/CASCA KG;KG;08012200  
47929;QUEIJO COALHO CRIOULO ESPETO TRAD.KG;KG;04069020  
61580;BOLO COM RECHEIO NO POTE;KG;19012000  
60662;MASSA DE PIZZAS SUPER.WAN KG;KG;19021900  
50221;PIMENTAO COLORIDO KG;KG;07089000  
48670;RACAO PEDIGREE RACAS PEQ. KG.;KG;23099010  
62089;COSTELINHA SUINA TEMPERADA REZENDE KG.;KG;02031900  
61302;PALITOS DE CHOCOLATE A GRANEL (TRANSFORMADO);KG;19059020  
51172;FILE DE BACALHAU MEGGS GADUS MACRO CONG.KG.;KG;03047100  
48807;ALCATRA*KG;KG;02012090  
62092;RACAO QUALIDY CAES FILHOTES SAB.CARNE KG;KG;23099010  
61303;SALGADO FRITO KG.;KG;19022000  
51921;LINGUICA CUIABANA KG;KG;16010000  
49668;COUVE FLOR KG.;KG;07041000  
63209;QUEIJO TIPO GOUDA VIGOR KG;KG;04061090  
61909;CONTRA FILE ESPECIAL KG;KG;02071200  
54299;PAO DE MEL;KG;19012000  
50202;AMEIXA KG;KG;08094000  
63258;QUEIJO FRESCO KG;KG;04061090  
62091;PAO DE FRIOS KG.;KG;19059090  
55319;BOLO DE CHOCOLATE DOMA KG;KG;19012000  
50928;PAO DE QUEIJO RECHEADO ASSADO KG;KG;19012000  
63356;PAO CIABATA KG;KG;19059010  
62702;CROQUETE DA CASA KG;KG;19052090  
55341;PAO DA FAZENDA KG;KG;19059010  
51944;BOLINHO CUPCAKE KG;KG;19059090  
63644;QUEIJO MINAS PADRAO VERDE CAMPO LACFREE  KG;KG;04069020  
63355;AZEITONA PRETA C/CAROCO KG;KG;20057000  
56369;BACON KG;KG;02071200  
52107;CANUDO KG;KG;19059090  
63969;QUEIJO MINAS PADRAO QUATA KG;KG;04061090  
63643;CARNE SECA MONTANA DIANTEIRO KG;KG;02102000  
56399;MORTADELA PAULICEIA KG;KG;16010000  
54215;PAO AUSTRALIANO KG;KG;19012000  
64448;MUSSARELA EM  PEDACO KG;KG;04061010  
64074;QUEIJO PARMESAO ORIENTE FATIADO KG;KG;04069010  
60846;NOZES COM CASCA KG;KG;08023100  
55030;SALAME SADIA HAMBURGUES  KG;KG;16010000  
65246;COXA/SOBRECOXA KG;KG;02071400  
64176;MORTADELA BAMBINA  KG;KG;16010000  
61304;APRESUNTADO SEARA KG;KG;16024900  
55318;BOLO DE FUBA DOMA KG;KG;19012000  
65335;LINGUICA CERATTI FRESCAL SUINA KG.;KG;16010000  
64548;EMPANADO DE FRANGO RECHEADO KG;KG;16023220  
61910;PALHA ITALIANA KG;KG;19059090  
56324;QUEIJO BOLA DEFUMADO V. ORIZONA KG;KG;04061010  
65626;SALAME AURORA HAMBURGUES KG;KG;16010000  
65330;PESCOCO DE FRANGO KG.;KG;02071400  
62093;RACAO DOMUS SAB.CARNE KG;KG;23099010  
56383;QUEIJO MINAS PADRAO CRIOULO RED. KG;KG;04069020  
62704;TULIPA A GRANEL KG.;KG;02071400  
65855;BEIJINHO KG;KG;19019090  
63967;QUEIJO MUSSARELA PALITO PALMEIRA KG;KG;04061010  
61305;RACAO PARA CAES QUALIDY DIA A DIA RACAS PEQ.KG.;KG;23099010  
64449;QUEIJO FRESCO/FRESCAL VALEZA KG;KG;04069030  
66579;MORTADELA REZENDE  KG.;KG;16010000  
64546;FILE DE FRANGO A MILANESA KG;KG;02071400  
62826;PUDIM DE GELATINA KG.;KG;19059090  
65096;LINGUICA SUINA NOBRE KG;KG;16010000  
63574;QUEIJADINHA KG;KG;19059010  
65332;SALAME PERDIGAO KG;KG;16010000  
63641;LAGARTO RECHEADO KG;KG;02013000  
65697;RACAO QUALIDY CAES ORIGINAL CARNE E FRANGO KG;KG;23099010  
65856;RACAO WHISKAS ADULTO CARNE KG;KG;23099010  
66268;MORTADELA CONFIANCA KG;KG;16010000  
66658;SALSICHA NOBRE KG;KG;16010000  
66705;PAO SOVADO KG;KG;19059010  
140;CHEIRO VERDE/ SALSINHA UN.;UN;07051900  
139;RUCULA UN.;UN;07051900  
138;ALFACE VARIADAS UN.;UN;07051900  
2923;ROSQUINHAS GALO DE LEITE 400GR;UN;19053100  
169;MORANGO BANDEJA;UN;08101000  
116;ABACAXI PEROLA UN.;UN;08043000  
2854;RODO DUPLO JULIANA 40 CM;UN;96039000  
2847;PASSE COMFORT SPRAY 500ML;UN;38099190  
186;BEIJINHO UN.;UN;19019090  
2890;AGUA DE COCO DUCOCO 330ML;UN;20098000  
2956;CR.DENTAL SORRISO SUPER REFRESCANTE 180GR.;UN;33061000  
2934;AZEITE OLIVA GALLO VD.500ML;UN;15099090  
349;LANCHE BURACO QUENTE UN.;UN;19059090  
137;AGRIAO UN.;UN;07051900  
3009;SHAMPOO PALMOLIVE PRETOS 350ML;UN;33051000  
2852;INSET.RAID ISCAS MATA BARATA CX.6UN.;UN;38089119  
2857;INSET. BAYGON ESPIRAL 10UN;UN;38089119  
3014;COND. PALMOLIVE NEUTRO 350ML;UN;33059000  
3038;LOCAO HIDR.SKALA AMENDOAS DOCE 500ML;UN;33072090  
2976;COTONETTE JOHNSON & JOHNSON 75UN.;UN;56012190  
2881;VEJA LIMP. P. 2 EM 1 500 ML;UN;34025000  
266;BRIGADEIRO UN.;UN;19019090  
3059;SABONETE DOVE ORIGINAL CX.90GR;UN;34011190  
2942;LEITE CONDENSADO MARAJOARA CX.395GR;UN;04029900  
2896;REMOVEDOR BUFALO TRADICIONAL 1LT.;UN;27101249  
3052;ABS.SEMPRE LIVRE ESP.ADAPT SUAVE SEM ABAS 8UN;UN;96190000  
3077;SAB.PALMOLIVE MANT.CAC.KARITE 150GR;UN;34011190  
3034;BEB.AGUARDENTE CACHACA VELHO BARREIRO 910ML;UN;22084000  
2926;LUSTRA MOVEIS POLIFLOR LAVANDA 500ML;UN;34052000  
2815;COPO AMERICANO NADIR PEQ.UN.;UN;70133700  
3078;SAB.PALMOLIVE OLEO AMEND.LAN.150GR;UN;34011900  
2967;CREME PARA CABELO TRIM LAV.CX.65GR;UN;33059000  
2952;CR.D.SORRISO DENTES BRANCOS 50GR;UN;33061000  
3056;ESPONJA P/ BANHO PONJITA AM.UN.;UN;96162000  
3117;AGUA PRATA SEM GAS PET 310ML;UN;22011000  
3050;ABSORVENTE O.B. SUPER 10UN.;UN;96190000  
3053;PIMENTA DO REINO KININO 40GR;UN;09041200  
2843;LIMPA TAPETES VANISH KARPEX 500ML;UN;34025000  
3141;AP.PR.GILLETTE ULTRAGRIP MOV.VERDE 2UN.;UN;82121020  
3057;SAB. DOVE ESFOLIACAO DIARIA 90GR;UN;34011190  
3188;OLEO COMPOSTO CARMELITA LATA 200ML;UN;15179010  
3072;SABONETE PHEBO NATURELLE 90GR;UN;34011190  
3213;ACHOCOLATADO TODDY ORIGINAL 2KG.;UN;18069000  
3067;SAB. FLOR DE YPE SUAVE ROXO 90GR;UN;34011190  
3197;CHOCOLATE EM PO KININO 200GR;UN;18061000  
2872;DESINF.KALIPTO EUCALIPTO 750ML;UN;38089419  
3215;ADOCANTE DIET ZERO.CAL ASPARTAME CX.40GR;UN;21069090  
3062;ESPONJA SCOTCH BRITE SALVA UNHAS UN.;UN;68053090  
3254;ATUM G.DA COSTA RALADO M.TOMATE LATA 140GR;UN;16042010  
3111;REFR.ANTARCTICA GUARANA ZERO LT 350ML;UN;22021000  
3255;CHA DR.OETKER BOLDO DO CHILE 10GR;UN;12116000  
3103;GATORADE UVA 500ML;UN;22029900  
3304;CREME DE AMENDOIM AMENDOCREM FUGINI 200GR;UN;20081900  
2877;DESINF.PINHO BRIL LAVANDA 500ML;UN;38089419  
3267;LEITE DE COCO DUCOCO 200ML;UN;20098990  
3068;SAB.PHEBO FRESCOR DA MANHA 90GR;UN;34011190  
3344;PANETTONE TOMMY FRUTAS 400GR;UN;19052010  
3136;BALA FRUTTI-TELLA MORANGO 41GR;UN;17049020  
3340;MAC.RENATA CONCHA SEMOLA C/OVOS 500GR;UN;19021100  
3123;VINHO TINTO DE MESA SECO  PERGOLA 1LT.;UN;22042100  
3364;MAC.STA.AMALIA C/OVOS CRISTA D.GALO 500GR;UN;19021100  
2936;EXTRATO DE TOMATE ELEFANTE 340GR;UN;20029090  
3358;BISC.MARILAN LEITE 400GR;UN;19053100  
3107;REFRIGERANTE GUAR.ANTARCT.CACULINHA 237ML;UN;22021000  
